1,Albany Medical College,New York,Albany,https://en.wikipedia.org/wiki/Albany_Medical_College
2,Albert Einstein College of Medicine,New York,The Bronx,https://en.wikipedia.org/wiki/Albert_Einstein_College_of_Medicine
3,Alpert Medical School at Brown University,Rhode Island,Providence,https://en.wikipedia.org/wiki/Alpert_Medical_School
4,Arkansas College of Osteopathic Medicine,Arkansas,Fort Smith,https://en.wikipedia.org/wiki/Arkansas_College_of_Osteopathic_Medicine
5,Baylor College of Medicine,Texas,"Houston, Texas",https://en.wikipedia.org/wiki/Baylor_College_of_Medicine
6,Boonshoft School of Medicine at Wright State University,Ohio,Dayton,https://en.wikipedia.org/wiki/Boonshoft_School_of_Medicine
7,Boston University School of Medicine,Massachusetts,Boston,https://en.wikipedia.org/wiki/Boston_University_School_of_Medicine
8,California Northstate University College of Medicine,California,Elk Grove,https://en.wikipedia.org/wiki/California_Northstate_University_College_of_Medicine
9,Case Western Reserve University School of Medicine,Ohio,Cleveland,https://en.wikipedia.org/wiki/Case_Western_Reserve_University_School_of_Medicine
10,Central Michigan University College of Medicine,Michigan,Mount Pleasant,https://en.wikipedia.org/wiki/Central_Michigan_University
11,Charles R. Drew University of Medicine and Science,California,Willowbrook,https://en.wikipedia.org/wiki/Charles_R._Drew_University_of_Medicine_and_Science
12,Chicago Medical School of Rosalind Franklin University of Medicine and Science,Illinois,North Chicago,https://en.wikipedia.org/wiki/Chicago_Medical_School
13,Cleveland Clinic Lerner College of Medicine,Ohio,Cleveland,https://en.wikipedia.org/wiki/Cleveland_Clinic_Lerner_College_of_Medicine
14,Columbia University College of Physicians and Surgeons,New York,Manhattan,https://en.wikipedia.org/wiki/Columbia_University_College_of_Physicians_and_Surgeons
15,Cooper Medical School of Rowan University,New Jersey,Camden,https://en.wikipedia.org/wiki/Cooper_Medical_School_of_Rowan_University
16,Creighton University School of Medicine,Nebraska,Omaha,https://en.wikipedia.org/wiki/Creighton_University_School_of_Medicine
17,CUNY School of Medicine,New York,"Harlem, New York",https://en.wikipedia.org/wiki/CUNY_School_of_Medicine
